Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
24,Gunkel,Wyatt,12,49,47,7,6,1,0,0,3,3,0,0,0,0,1,5,0.149,0.167,0.17,0.337,49,0.2,0.894,3,1,0,1,0,1,0,1,8,0,0.105,161,3.286,7,0.143,7,0.143,20.93%,55.81%,1,0,30,2,16,24,48.98%,0.167,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,15,10,5,15,3.75,1,0.25,0,0,0,0,-0.94,0.667,2,0.5,0.5,0,0,0,1,0,0,0,1,4,4,0.267,18,0.5,0,1,0,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,6,54,2,1,0,0.968,57.1,2,8,1,0.111,1,0
27,McBain,Tanner,3,9,8,2,2,0,0,0,2,2,0,1,0,0,1,2,0.25,0.333,0.25,0.583,9,0.5,0.75,1,0,0,0,0,0,0,0,2,0,1,29,3.222,0,0,0,0,16.67%,83.33%,0,0,4,1,2,3,33.33%,0.333,3.2,2,0,0,0,0,0,0,0,5,1,1,2,3,0,2.455,1.909,18,63,38,25,17.182,3.5,10,0.556,1,0,0,1,3.175,0.603,11,0.611,0.636,0,0.364,0.545,2,0,1,0,1,16,8,0.127,7.364,0.167,1.5,0.692,0.308,0.462,0.538,1,5,0.2,0.312,0,0.385,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0
30,Huseby,Sam,11,40,31,4,3,1,0,0,1,4,2,0,1,0,7,16,0.129,0.325,0.161,0.486,5.714,0.438,0.484,5,0,1,0,0,0,0,1,5,0,0,166,4.15,4,0.1,9,0.225,26.67%,60.00%,0,0,21,0,3,16,40.00%,0.267,0.2,1,0,0,0,1,1,0,1,0,0,0,2,2,0,0,3,4,17,7,10,25.5,4.25,1,0.25,0,0,0,0,6.17,0.412,2,0.5,1,0,0,3,0,0,1,0,0,2,4,0.235,27,0.5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,26,3,1,0,0.903,6,0,2,0,0,0,0
69,Naugle,Jack,8,24,22,3,3,0,0,0,1,0,0,0,1,0,2,6,0.136,0.208,0.136,0.345,12,0.333,0.727,4,0,0,0,0,2,0,0,3,0,0,99,4.125,3,0.125,6,0.25,31.25%,62.50%,0,0,18,0,2,10,41.67%,0.188,12.2,3,2,0,1,0,0,0,0,9,9,7,4,12,2,4.974,1.026,56,211,127,84,16.658,3.768,25,0.446,9,7,5,3,6.667,0.602,36,0.643,0.778,0,0.222,0.316,9,1,0,0,1,50,21,0.1,8.526,0.214,3,0.789,0.211,0.421,0.579,10,15,0.667,0.18,4,0.147,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,18,0,0,0,1,10,0,5,1,0.167,0,0
99,Sayles,Toby,11,41,34,7,6,1,0,0,5,3,1,0,2,0,6,8,0.206,0.341,0.235,0.577,6.833,0.75,0.765,3,1,0,1,0,1,0,1,8,0,0.154,144,3.512,5,0.122,7,0.171,42.31%,30.77%,0,0,16,1,12,24,58.54%,0.269,19,6,2,0,0,0,0,0,0,18,8,6,8,21,0,2.842,1.368,86,274,185,89,14.421,3.186,53,0.616,12,5,4,8,2.201,0.675,62,0.721,0.742,0.032,0.21,0.421,11,1,2,1,1,76,35,0.128,9.947,0.244,2.625,0.661,0.339,0.464,0.536,14,17,0.824,0.237,0,0.321,24,0,0,2,1,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,11,2,1,0,0.913,0,0,0,0,0,0,0
,Huntington,Shea,8,31,27,6,6,0,0,0,1,3,1,0,0,0,3,11,0.222,0.323,0.222,0.545,10.333,0.273,0.593,3,0,0,0,0,0,0,0,6,0,0.143,114,3.677,1,0.032,6,0.194,50.00%,37.50%,0,0,15,1,4,10,32.26%,0.375,3,2,0,0,0,0,0,0,0,3,2,2,2,3,0,6,1.667,14,47,32,15,15.667,3.357,8,0.571,3,1,1,2,3.17,0.681,10,0.714,0.6,0.1,0.3,0.667,2,2,0,0,0,12,8,0.17,9,0.214,1.5,0.444,0.556,0.333,0.667,3,3,1,0.25,0,0.333,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,22,1,1,0,0.963,17.2,0,3,0,0,0,0
,McBain,Tanner27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.00%,0,3,1,0,0,0,0,0,0,0,3,1,1,1,4,0,3,1.333,13,55,35,20,18.333,4.231,4,0.308,3,3,1,1,5.66,0.636,10,0.769,0.6,0.1,0.3,0.333,2,0,0,0,0,12,7,0.127,12,0.308,4,0.5,0.5,0.375,0.625,3,2,1.5,0.25,1,0.286,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Levasseur,Luke,5,18,17,2,2,0,0,0,2,0,0,0,1,0,0,3,0.118,0.111,0.118,0.229,0,0,0.824,1,0,0,0,0,1,0,0,2,0,0.2,61,3.389,4,0.222,3,0.167,40.00%,33.33%,0,1,12,0,4,8,44.44%,0.133,21.1,7,2,0,2,1,1,0,1,20,7,6,4,19,0,2.531,1.125,89,232,179,53,10.875,2.607,68,0.764,16,12,7,13,2.521,0.772,71,0.798,0.761,0.014,0.211,0.188,18,0,0,0,0,84,31,0.134,8.016,0.213,4.75,0.727,0.273,0.531,0.469,19,20,0.95,0.238,1,0.297,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,2,0,1,0,0,0,0,0,0,0
,,Maxonyx,2,8,8,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0.375,2,0,0,0,0,0,0,0,0,0,0,28,3.5,0,0,0,0,0.00%,100.00%,0,0,11,0,1,1,12.50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,1,0,1,0,0,0,0,0,0,0
,Dorsey,David,17,74,64,20,16,1,1,2,7,14,2,1,1,0,4,9,0.312,0.351,0.453,0.804,18.5,0.444,0.859,4,2,0,1,0,0,0,4,29,32,0.3,256,3.459,13,0.176,12,0.162,42.37%,38.98%,0,4,24,1,17,38,51.35%,0.316,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,5,19,9,10,19,3.8,2,0.4,1,0,0,0,9.32,0.474,3,0.6,1,0,0,2,0,0,0,0,0,3,1,0.053,0,0,0,0.667,0.333,0.667,0.333,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,28,38,2,6,0,0.971,0,0,0,0,0,0,0
,Fagerland,Canaan,7,28,23,10,6,2,2,0,2,5,0,1,0,0,5,4,0.435,0.536,0.696,1.231,5.6,1.25,0.826,2,1,0,1,0,0,0,4,16,0,0.2,96,3.429,3,0.107,6,0.214,21.05%,31.58%,0,0,8,1,12,20,71.43%,0.526,1,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,3,6,19,10,9,19,3.167,3,0.5,0,0,0,0,7.25,0.526,4,0.667,0.75,0,0.25,2,0,0,1,0,0,4,0,0,9,0.167,0.5,1,0,0.333,0.667,0,2,0,0.25,0,0.333,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,14,2,0,0,0.917,0,0,0,0,0,0,0
,Roerich,Tristian,4,13,12,4,4,0,0,0,0,2,0,0,0,0,1,2,0.333,0.385,0.333,0.718,13,0.5,0.833,1,0,0,0,0,0,0,0,4,0,0,63,4.846,6,0.462,5,0.385,30.00%,60.00%,0,0,6,0,3,8,61.54%,0.4,7,2,2,0,0,0,0,0,0,6,5,3,5,8,0,3.857,1.571,31,115,66,49,16.429,3.71,13,0.419,4,4,2,2,3.02,0.574,18,0.581,0.722,0.056,0.222,0.714,3,1,1,0,0,26,14,0.122,10.286,0.258,1.6,0.778,0.222,0.5,0.5,5,6,0.833,0.231,0,0.333,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,0,0,0.8,0,0,0,0,0,0,0
,S,Henry,2,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,0,0,0.75,0,0,0,0,0,0,0,0,1,0,0,8,2,0,0,0,0,0.00%,66.67%,0,0,0,0,1,1,25.00%,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0.5,0,0,0,0,0,0,0
,Ose,Connor,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0.111,5,0,0,0,0,0,0,0,0,0,0,40,4.444,1,0.111,3,0.333,100.00%,0.00%,0,0,12,0,0,3,33.33%,0,3,2,0,0,0,0,0,0,0,4,4,3,4,2,1,9,2.667,18,64,34,30,21.333,3.556,9,0.5,1,1,0,0,6.92,0.531,15,0.833,0.467,0.2,0.267,1.333,0,0,0,0,1,13,4,0.062,6,0.111,0.5,0.545,0.455,0.364,0.636,1,4,0.25,0.308,0,0.364,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0
,Gravdahl ,Andy,12,50,47,17,13,3,0,1,6,6,0,0,2,0,3,7,0.362,0.4,0.489,0.889,16.667,0.429,0.851,2,3,0,1,0,1,0,4,23,47,0.385,155,3.1,4,0.08,5,0.1,17.50%,67.50%,0,0,17,0,14,21,42.00%,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,23,1,0,0,0.958,0,0,0,0,0,0,0
Team,Totals,,17,614,541,129,98,21,5,5,52,64,11,6,16,0,54,135,0.238,0.316,0.323,0.64,11.37,0.4,0.75,52,13,1,0.929,0,12,0,31,175,108.2,0.243,2139,3.484,70,0.114,103,0.168,32.37%,48.07%,1,7,123,11,138,289,47.07%,0.304,138,17,17,3,9,2,2,0,1,125,75,53,60,119,9,3.457,1.341,618,2049,1310,739,14.848,3.316,348,0.563,92,60,37,65,3.675,0.639,415,0.672,0.699,0.043,0.227,0.435,92,13,9,2,6,539,221,0.108,7.761,0.193,1.983,0.702,0.298,0.461,0.539,123,141,0.872,0.232,8,0.283,128,1,1,19,3,0.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,123,414,28,12,0,0.95,138,6,19,3,0.136,1,1
